bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
6100002,6150001,2084,2081,3,0,0.0014395393474088292,3202,10,0,1,825,85,64
6150002,6200001,2083,2083,0,0,0.0,3199,10,0,0,253,89,64
6200002,6250001,2083,2082,1,0,0.00048007681228996637,3168,11,0,0,253,83,64
6250002,6300001,2084,2083,1,0,0.0004798464491362764,3257,9,0,0,253,86,64
6300002,6350001,2083,2082,1,0,0.00048007681228996637,3192,10,0,0,253,87,64
6350002,6400001,2083,2083,0,0,0.0,3145,10,0,0,253,79,64
6400002,6450001,2084,2084,0,0,0.0,3152,10,0,0,247,83,64
6450002,6500001,2083,2083,0,0,0.0,3195,10,0,0,253,85,64
6500002,6550001,2083,2083,0,0,0.0,3199,10,0,0,253,79,64
6550002,6600001,2084,2084,0,0,0.0,3204,10,0,0,253,87,64
6600002,6650001,2083,2083,0,0,0.0,3177,9,0,0,254,83,64
6650002,6700001,2083,2082,1,0,0.00048007681228996637,3160,10,0,1,859,79,64
6700002,6750001,2084,2084,0,0,0.0,3211,10,0,0,253,89,64
6750002,6800001,2083,2083,0,0,0.0,3164,9,0,0,250,79,64
6800002,6850001,2083,2083,0,0,0.0,3183,10,0,0,254,85,64
6850002,6900001,2084,2084,0,0,0.0,3229,9,0,0,253,83,64
6900002,6950001,2083,2083,0,0,0.0,3186,10,0,0,254,83,64
6950002,7000001,2083,2082,1,0,0.00048007681228996637,3178,9,0,0,253,87,64
7000002,7050001,2084,2083,1,0,0.0004798464491362764,3216,10,0,0,253,85,64
7050002,7100001,2083,2082,1,0,0.00048007681228996637,3151,9,0,0,248,85,64
7100002,7150001,2083,2083,0,0,0.0,3152,9,0,0,253,87,64
7150002,7200001,2084,2082,2,0,0.0009596928982725527,3152,10,0,1,731,87,64
7200002,7250001,2083,2083,0,0,0.0,3175,9,0,0,253,89,64
7250002,7300001,2083,2083,0,0,0.0,3173,9,0,0,253,79,64
7300002,7350001,2084,2083,1,0,0.0004798464491362764,3130,10,0,0,253,83,64
7350002,7400001,2083,2082,1,0,0.00048007681228996637,3165,9,0,0,253,85,64
7400002,7450001,2083,2083,0,0,0.0,3185,9,0,0,253,77,64
7450002,7500001,2084,2083,1,0,0.0004798464491362764,3114,9,0,0,253,87,64
7500002,7550001,2083,2081,2,0,0.0009601536245799327,3156,9,0,0,254,87,64
7550002,7600001,2083,2083,0,0,0.0,3148,9,0,0,251,87,64
7600002,7650001,2084,2083,1,0,0.0004798464491362764,3175,9,0,0,256,87,64
7650002,7700001,2083,2083,0,0,0.0,3170,9,0,0,253,85,64
7700002,7750001,2083,2083,0,0,0.0,3116,9,0,0,256,83,64
7750002,7800001,2084,2084,0,0,0.0,3128,9,0,0,253,87,64
7800002,7850001,2083,2082,1,0,0.00048007681228996637,3180,9,0,0,253,79,64
7850002,7900001,2083,2083,0,0,0.0,3173,9,0,0,253,85,64
7900002,7950001,2084,2084,0,0,0.0,3146,9,0,0,253,83,64
7950002,8000001,2083,2083,0,0,0.0,3124,9,0,0,247,77,64
