bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
19250002,19300001,2083,2079,4,0,0.0019203072491598655,2961,6,3,1,253,79,64
19300002,19350001,2084,2081,3,0,0.0014395393474088292,2998,5,2,1,253,98,64
19350002,19400001,2083,2080,3,0,0.0014402304368698992,3014,6,3,0,253,87,64
19400002,19450001,2083,2081,2,0,0.0009601536245799327,3022,6,1,1,254,83,64
19450002,19500001,2084,2082,2,0,0.0009596928982725527,2938,5,2,0,249,87,64
19500002,19550001,2083,2079,4,0,0.0019203072491598655,2954,6,3,1,253,83,64
19550002,19600001,2083,2080,3,0,0.0014402304368698992,2931,6,2,1,247,85,64
19600002,19650001,2084,2080,4,0,0.0019193857965451055,2992,5,4,0,247,85,64
19650002,19700001,2083,2079,4,0,0.0019203072491598655,2983,6,4,0,255,85,64
19700002,19750001,2083,2078,5,0,0.002400384061449832,2990,6,3,1,253,87,64
19750002,19800001,2084,2079,5,0,0.0023992322456813818,3002,5,3,1,254,93,64
19800002,19850001,2083,2079,4,0,0.0019203072491598655,2975,6,2,1,1483,87,64
19850002,19900001,2083,2080,3,0,0.0014402304368698992,2957,5,2,1,256,85,64
19900002,19950001,2084,2082,2,0,0.0009596928982725527,3014,6,1,1,247,87,64
19950002,20000000,2083,2079,4,0,0.0019203072491598655,2976,6,3,0,253,85,64
